Industry,Question,Mixed_DSF,Mixed_SDE,Mixed_SLED,Mixed_TGP,Mixed_ASV,Strat_DSF,Strat_SDE,Strat_SLED,Strat_TGP,Strat_ASV
Construction,What acount had our biggest expense This fiscal year to date?,0.0,0.46349310874938965,0.40987654320987654,1.0,1.0,0.0,1.0,0.30426356589147285,1.0,1.0
Construction,What was the mean bill Amanda Fry received from Robin Wright?,0.0,0.5412834882736206,0.36900369003690037,1.0,1.0,0.0,0.6120097041130066,0.3620689655172413,1.0,1.0
Construction,What acount had our biggest expense YTD?,0.0,0.46349310874938965,0.48344370860927155,1.0,1.0,0.0,0.46349310874938965,0.3852941176470588,1.0,1.0
Construction,What was the min invoice value for Retailing Wardrobe in Last 30 days?,0.0,0.3502420485019684,0.32799999999999996,1.0,1.0,0.0,0.36173883080482483,0.44999999999999996,1.0,1.0
Construction,What was the lowest invoice value for Maintenance and Repair in Last 7 days?,0.0,0.3515200614929199,0.3131868131868132,1.0,1.0,0.0,0.38020583987236023,0.29695431472081213,1.0,1.0
Construction,What was the lowest invoice value for Manufacturing industrial organic gases in yesterday?,0.0,0.3502420485019684,0.3432343234323433,1.0,1.0,0.0,0.36173883080482483,0.5570175438596492,1.0,1.0
Construction,What was the average invoice value for Manufacturing peppermint oil in Last year?,0.0,0.3502420485019684,0.26315789473684215,1.0,1.0,0.0,0.36173880100250244,0.44981412639405205,1.0,1.0
Construction,What acount had our biggest expense in may last year?,0.0,0.40999993681907654,0.4122340425531915,1.0,1.0,0.0,0.48546329140663147,0.3037694013303769,1.0,1.0
Construction,What was the first invoice value for Stationery & Printing in This fiscal year to date?,0.0,0.4100540280342102,0.20557029177718833,1.0,1.0,0.0,0.5071550607681274,0.30922242314647375,1.0,1.0
Construction,What acount had our biggest expense This week to date?,0.0,0.40999993681907654,0.4262820512820513,1.0,1.0,0.0,0.0,0.1881014873140857,1.0,0.0
Construction,What acount had our biggest expense This week to date?,0.0,0.40999993681907654,0.4262820512820513,1.0,1.0,0.0,0.5176650881767273,0.32352941176470584,1.0,1.0
Construction,What acount had our biggest expense This year?,0.0,0.46349310874938965,0.4778481012658228,1.0,1.0,0.0,0.48546329140663147,0.37765957446808507,1.0,1.0
Construction,What acount had our biggest expense in q1 this year?,0.0,0.4162086546421051,0.24269005847953218,1.0,1.0,0.0,0.7838214635848999,0.32163742690058483,1.0,1.0
Construction,What acount had our biggest expense This fiscal year?,0.0,0.48546329140663147,0.33738601823708203,1.0,1.0,0.0,0.46349310874938965,0.31000000000000005,1.0,1.0
Construction,What acount had our biggest expense This fiscal year?,0.0,0.48546329140663147,0.33738601823708203,1.0,1.0,0.0,0.0,0.18225419664268583,1.0,0.0
Construction,What acount had our biggest expense This fiscal year?,0.0,0.46349310874938965,0.41033434650455924,1.0,1.0,0.0,0.46349310874938965,0.31000000000000005,1.0,1.0
Construction,What acount had our biggest expense This fiscal year?,0.0,0.46349310874938965,0.41033434650455924,1.0,1.0,0.0,0.0,0.18225419664268583,1.0,0.0
Construction,What acount had our biggest expense This week to date?,0.0,0.48546329140663147,0.2948717948717948,1.0,1.0,0.0,0.0,0.1881014873140857,1.0,0.0
Construction,What acount had our biggest expense This week to date?,0.0,0.48546329140663147,0.2948717948717948,1.0,1.0,0.0,0.5176650881767273,0.32352941176470584,1.0,1.0
Retail,How much revenue came through John Roberson This quarter?,0.0,0.0,0.33333333333333337,1.0,1.0,0.0,0.0,0.26883308714918763,1.0,1.0
Retail,Check the sales receipts record and compute the average quantities ordered with the payment method [payment_method].,0.0,0.5720335245132446,0.36170212765957444,1.0,1.0,0.0,0.43888887763023376,0.25098039215686274,1.0,1.0
Retail,Check the sales receipts record and compute the average quantities ordered with the payment method [payment_method].,0.0,0.5720335245132446,0.36170212765957444,1.0,1.0,0.0,0.43888887763023376,0.29889298892988925,1.0,1.0
Retail,Check the sales receipts record and compute the average quantities ordered with the payment method [payment_method].,0.0,0.5720335245132446,0.36170212765957444,1.0,1.0,0.0,0.43888887763023376,0.32340425531914896,1.0,1.0
Retail,Check the sales receipts record and compute the average quantities ordered with the payment method [payment_method].,0.0,0.5720335245132446,0.36170212765957444,1.0,1.0,0.0,0.43888887763023376,0.24710424710424705,1.0,1.0
Retail,When was the last time we sold Photography,0.0,0.4085649847984314,0.2978723404255319,1.0,1.0,0.0,1.0,0.3191489361702128,1.0,1.0
Retail,When was the last time we sold Application Hosting,0.0,0.4085649847984314,0.32098765432098764,1.0,1.0,0.0,1.0,0.345679012345679,1.0,1.0
Retail,Compare sales by customer in may last year,0.0,0.49364617466926575,0.35451505016722407,1.0,1.0,0.0,0.481391042470932,0.3864406779661017,1.0,1.0
Retail,Check the sales receipts record and compute the average quantities ordered with the payment method [payment_method].,0.0,0.5720335245132446,0.39148936170212767,1.0,1.0,0.0,0.43888887763023376,0.25098039215686274,1.0,1.0
Retail,Check the sales receipts record and compute the average quantities ordered with the payment method [payment_method].,0.0,0.5720335245132446,0.39148936170212767,1.0,1.0,0.0,0.43888887763023376,0.29889298892988925,1.0,1.0
