Industry,Question,Gold_SQL,Generated_SQL
Construction,What acount had our biggest expense This fiscal year to date?,"select account, sum(debit) from master_txn_table as t1 join chart_of_account_ob as t2 on t1.account = t2.account_name where account_type in ('expense','other expense') and transaction_date between date(current_date, '-3 months', 'start of year', '+3 months') and date(current_date, '-3 months', 'start of year','+1 year', '+3 months', '-1 day') group by account order by sum(debit) desc limit 1",
Construction,What was the first bill Jesus Snyder received from Roger Vega?,"select min(credit) from master_txn_table where customers = ""jesus snyder"" and transaction_type = 'bill' and vendor = ""roger vega""",
Construction,What acount had our biggest expense This year to date?,"select account, sum(debit) from master_txn_table as t1 join chart_of_account_ob as t2 on t1.account = t2.account_name where account_type in ('expense','other expense') and transaction_date between date(current_date, 'start of year') and date(current_date) group by account order by sum(debit) desc limit 1",
Construction,What acount had our biggest expense in may last year?,"select account, sum(debit) from master_txn_table as t1 join chart_of_account_ob as t2 on t1.account = t2.account_name where account_type in ('expense','other expense') and transaction_date between date(current_date, '-1 year', 'start of year', '+4 month') and date(current_date, '-1 year', 'start of year', '+5 month', '-1 day') group by account order by sum(debit) desc limit 1",
Construction,What was the average bill James Torres received from Michael Miller?,"select avg(credit) from master_txn_table where customers = ""james torres"" and transaction_type = 'bill' and vendor = ""michael miller""",
Construction,What was the average bill Frank Wilkins received from Jennifer Harvey?,"select avg(credit) from master_txn_table where customers = ""frank wilkins"" and transaction_type = 'bill' and vendor = ""jennifer harvey""",
Construction,What acount had our biggest expense This fiscal year?,"select account, sum(debit) from master_txn_table as t1 join chart_of_account_ob as t2 on t1.account = t2.account_name where account_type in ('expense','other expense') and transaction_date between date(current_date, '-3 months', 'start of year', '+3 months') and date(current_date) group by account order by sum(debit) desc limit 1",
Construction,What acount had our biggest expense in q1 this year?,"select account, sum(debit) from master_txn_table as t1 join chart_of_account_ob as t2 on t1.account = t2.account_name where account_type in ('expense','other expense') and transaction_date between date(current_date, 'start of year') and date(current_date, 'start of year', '+3 month', '-1 day') group by account order by sum(debit) desc limit 1",
Construction,What acount had our biggest expense This fiscal year?,"select account, sum(debit) from master_txn_table as t1 join chart_of_account_ob as t2 on t1.account = t2.account_name where account_type in ('expense','other expense') and transaction_date between date(current_date, '-3 months', 'start of year', '+3 months') and date(current_date) group by account order by sum(debit) desc limit 1",
Construction,What acount had our biggest expense in may last year?,"select account, sum(debit) from master_txn_table as t1 join chart_of_account_ob as t2 on t1.account = t2.account_name where account_type in ('expense','other expense') and transaction_date between date(current_date, '-1 year', 'start of year', '+4 month') and date(current_date, '-1 year', 'start of year', '+5 month', '-1 day') group by account order by sum(debit) desc limit 1",
Construction,What acount had our biggest expense YTD?,"select account, sum(debit) from master_txn_table as t1 join chart_of_account_ob as t2 on t1.account = t2.account_name where account_type in ('expense','other expense') and transaction_date between date(current_date, 'start of year') and date(current_date)group by account order by sum(debit) desc limit 1",
Construction,What acount had our biggest expense This week to date?,"select account, sum(debit) from master_txn_table as t1 join chart_of_account_ob as t2 on t1.account = t2.account_name where account_type in ('expense','other expense') and transaction_date between date( current_date, ""weekday 0"", ""-7 days"") and date( current_date) group by account order by sum(debit) desc limit 1",
Construction,What acount had our biggest expense This year?,"select account, sum(debit) from master_txn_table as t1 join chart_of_account_ob as t2 on t1.account = t2.account_name where account_type in ('expense','other expense') and transaction_date between date(current_date, 'start of year') and date(current_date) group by account order by sum(debit) desc limit 1",
Construction,What acount had our biggest expense This week to date?,"select account, sum(debit) from master_txn_table as t1 join chart_of_account_ob as t2 on t1.account = t2.account_name where account_type in ('expense','other expense') and transaction_date between date( current_date, ""weekday 0"", ""-7 days"") and date( current_date) group by account order by sum(debit) desc limit 1",
Construction,What was the mean bill Amanda Fry received from Robin Wright?,"select avg(credit) from master_txn_table where customers = ""amanda fry"" and transaction_type = 'bill' and vendor = ""robin wright""",
Retail,Check the sales receipts record and compute the average quantities ordered with the payment method [payment_method].,"select avg(quantity_per_transaction) from (select transaction_id, sum(quantity) as quantity_per_transaction from master_txn_table where transaction_type = 'sales receipt' and payment_method = ""[payment_method]"" group by transaction_id)",
Retail,Check the sales receipts record and compute the average quantities ordered with the payment method [payment_method].,"select avg(quantity_per_transaction) from (select transaction_id, sum(quantity) as quantity_per_transaction from master_txn_table where transaction_type = 'sales receipt' and payment_method = ""[payment_method]"" group by transaction_id)",
Retail,Compare sales by customer in may last year,"select customers, sum(credit) from master_txn_table where account in ('income','other income') and transaction_date between date(current_date, '-1 year', 'start of year', '+4 month') and date(current_date, '-1 year', 'start of year', '+5 month', '-1 day') group by customers",
Retail,Compare sales by customer Last fiscal year,"select customers, sum(credit) from master_txn_table where account in ('income','other income') and transaction_date between date(current_date, '-3 months', 'start of year','-1 years', '+3 months') and date(current_date, '-3 months', 'start of year','-1 years', '+3 months', '+1 years', '-1 days') group by customers",
Retail,When was the last time we sold IT and telecommunication,"select transaction_date from master_txn_table as t1 join chart_of_account_ob as t2 on t1.account = t2.account_name where account_type in ('income','other income') and product_service = ""it and telecommunication"" order by transaction_date desc limit 1",
Retail,Check the sales receipts record and compute the average quantities ordered with the payment method [payment_method].,"select avg(quantity_per_transaction) from (select transaction_id, sum(quantity) as quantity_per_transaction from master_txn_table where transaction_type = 'sales receipt' and payment_method = ""[payment_method]"" group by transaction_id)",
Retail,What was the total invoice value for Offering fixed income funds in Last fiscal year?,"select sum(credit) from master_txn_table where transaction_type = 'invoice' and instr(account,""offering fixed income funds"") and transaction_date between date(current_date, '-3 months', 'start of year','-1 years', '+3 months') and date(current_date, '-3 months', 'start of year','-1 years', '+3 months', '+1 years', '-1 days')",
Retail,Compare sales by customer Last fiscal year,"select customers, sum(credit) from master_txn_table where account in ('income','other income') and transaction_date between date(current_date, '-3 months', 'start of year','-1 years', '+3 months') and date(current_date, '-3 months', 'start of year','-1 years', '+3 months', '+1 years', '-1 days') group by customers",
Retail,Compare sales by customer Last year,"select customers, sum(credit) from master_txn_table where account in ('income','other income') and transaction_date between date(current_date, 'start of year', '-1 days', 'start of year') and date(current_date, 'start of year', '-1 days') group by customers",
Retail,How much revenue came through Phillip Black Last 30 days?,"select sum(credit) from master_txn_table as t1 join chart_of_account_ob as t2 on t1.account = t2.account_name where customers = """"phillip black"""" and account_type in ('income','other income') and transaction_date between date( current_date, ""-30 days"") and date( current_date)",
